Compatibility list MAME style
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|romname   | Pl  | Rot | Control Type (for one player)  | Bios | Test | Boot | Game | Notes                                               |
|starhrct  |  -  |  H  |                                |      | Yes  | Yes  | Yes  | ARCNET network unemulated                           |
|starhrcl  |  1  |  V  |                                |      | Yes  | Yes  | Yes  | ARCNET network unemulated                           |
|starhrsp  |  1  |  V  |                                |      | Yes  | Yes  | Yes  | ARCNET network unemulated                           |
|starhrpr  |  1  |  V  |                                |      | Yes  | Yes  | Yes  | ARCNET network unemulated                           |
|suchie3   |  1  |  H  | mahjong panel                  | Jap  | Yes  | Yes  | Yes  |                                                     |
|tduno     |  1  |  H  | JVS-touchscreen                |      | Yes  | Yes  | Yes  |                                                     |
|tduno2    |  1  |  H  | JVS-touchscreen                |      | Yes  | Yes  | Yes  |                                                     |
|tokyobus  |  1  |  H  | 1 axis, 2 pedal, 6 btn         |      | Yes  | Yes  | Yes  |                                                     |
|totd      |  2  |  H  | keyboard                       |      | Yes  | Yes  | Yes  |                                                     |
|toukon4   |  2  |  H  | joy, 5 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|toyfight  |  2  |  H  | joy, 3 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|virnba    |  2  |  H  | joy, 2 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|virnbao   |  2  |  H  | joy, 2 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|virnbap   |  2  |  H  | joy, 2 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|vonot     |  1  |  H  | joy, 4 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|vs2_2k    |  2  |  H  | joy, 3 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|vtenis2c  |  2  |  H  | joy, 2 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|vtennis   |  2  |  H  | joy, 2 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|wldkicks  |  4  |  H  | 2 axis, 2 pedal, ?? btn        |      | Yes  | Yes  | Yes  |                                                     |
|wldkicksa |  4  |  H  | 2 axis, 2 pedal, ?? btn        |      | Yes  | Yes  | Yes  |                                                     |
|wldkicksj |  4  |  H  | 2 axis, 2 pedal, ?? btn        |      | Yes  | Yes  | Yes  |                                                     |
|wrungp    |  1  |  H  | 1 axis, 1 pedal, 1 btn         |      | Yes  | Yes  | Yes  |                                                     |
|wwfroyal  |  2  |  H  | joy, 3 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|zerogu2   |  2  |  H  | 2 axis, 3 btn                  |      | Yes  | Yes  | Yes  |                                                     |
|zombrvn   |  2  |  H  | 2 axis, 3 btn                  |      | Yes  | Yes  | Yes  |                                                     |
|zombrvno  |  2  |  H  | 2 axis, 3 btn                  |      | Yes  | Yes  | Yes  |                                                     |
|zunou     |  2  |  H  | touchscreen                    |      | Yes  | Yes  | Yes  |                                                     |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
| Naomi GD-ROM system                                                                                                                     |
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|azumanga  |  2  |  H  | joy, 1 btn                     |      | Yes  | Yes  | Yes  |                                                     |
|bdrdown   |  2  |  H  | joystick with 3 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|cfield    |  1  |  H  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|chocomk   |  2  |  H  | joystick with 2 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|cleoftp   |  2  |  H  | joystick with 3 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|confmiss  |  2  |  H  | lightgun                       |      | Yes  | Yes  | Yes  |                                                     |
|cvs2gd    |  2  |  H  | joystick with 6 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|cvsgd     |  2  |  H  | joystick with 4 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|dygolf    |  1  |  H  | joystick with 2 rotary channel |      | Yes  | Yes  | Yes  |                                                     |
|ggxx      |  2  |  H  | joystick with 5 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|ggxxac    |  2  |  H  | joystick with 5 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|ggxxrl    |  2  |  H  | joystick with 5 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|ggxxrlo   |  2  |  H  | joystick with 5 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|ggxxsla   |  2  |  H  | joystick with 5 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|gundmgd   |  1  |  H  | twin-joystick with 4+6 buttons |      | Yes  | Yes  | Yes  |                                                     |
|gundmxgd  |  1  |  H  | twin-joystick with 4+6 buttons |      | Yes  | Yes  | Yes  |                                                     |
|ikaruga   |  2  |  V  | joystick with 2 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|jingystm  |  2  |  H  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|karous    |  1  |  V  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|keyboard  |  2  |  H  | keyboard                       |      | Yes  | Yes  | Yes  |                                                     |
|kurucham  |  2  |  H  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|lupinsho  |  2  |  H  | lightgun                       |      | Yes  | Yes  | Yes  |                                                     |
|luptype   |  2  |  H  | keyboard                       |      | Yes  | Yes  | Yes  |                                                     |
|meltyb    |  2  |  H  | joystick with 5 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|meltybo   |  2  |  H  | joystick with 5 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
